Buy:    price = 370.10 ||  money = 117.83
*******************************************************
Sold:   price = 371.80 ||  money = 118.10
Buy:    price = 362.65 ||  money = 118.10
*******************************************************
Sold:   price = 365.72 ||  money = 118.60
Buy:    price = 362.40 ||  money = 118.60
*******************************************************
Sold:   price = 363.47 ||  money = 118.78
Buy:    price = 362.31 ||  money = 118.78
*******************************************************
Sold:   price = 364.76 ||  money = 119.18
Buy:    price = 359.30 ||  money = 119.18
*******************************************************
Sold:   price = 360.33 ||  money = 119.35
Buy:    price = 360.08 ||  money = 119.35
*******************************************************
Sold:   price = 364.41 ||  money = 120.07
Buy:    price = 364.38 ||  money = 120.07
*******************************************************
Sold:   price = 366.18 ||  money = 120.36
Buy:    price = 361.68 ||  money = 120.36
*******************************************************
Sold:   price = 362.53 ||  money = 120.50
Buy:    price = 361.07 ||  money = 120.50
*******************************************************
Sold:   price = 361.44 ||  money = 120.57
Buy:    price = 358.31 ||  money = 120.57
*******************************************************
Sold:   price = 358.38 ||  money = 120.58
Buy:    price = 354.40 ||  money = 120.58
*******************************************************
Sold:   price = 357.66 ||  money = 121.13
Buy:    price = 355.32 ||  money = 121.13
*******************************************************
Sold:   price = 357.65 ||  money = 121.53
Buy:    price = 356.80 ||  money = 121.53
*******************************************************
Sold:   price = 357.40 ||  money = 121.63
Buy:    price = 357.13 ||  money = 121.63
*******************************************************
Sold:   price = 357.15 ||  money = 121.64
Buy:    price = 355.70 ||  money = 121.64
*******************************************************
Sold:   price = 357.82 ||  money = 122.00
Buy:    price = 350.45 ||  money = 122.00
*******************************************************
Sold:   price = 353.67 ||  money = 122.56
Buy:    price = 352.32 ||  money = 122.56
*******************************************************
Sold:   price = 353.24 ||  money = 122.72
Buy:    price = 351.92 ||  money = 122.72
*******************************************************
Sold:   price = 355.49 ||  money = 123.34
Buy:    price = 355.42 ||  money = 123.34
*******************************************************
Sold:   price = 356.27 ||  money = 123.49
Buy:    price = 350.04 ||  money = 123.49
*******************************************************
Sold:   price = 362.24 ||  money = 125.64
Buy:    price = 357.73 ||  money = 125.64
*******************************************************
Sold:   price = 358.48 ||  money = 125.77
Buy:    price = 358.39 ||  money = 125.77
*******************************************************
Sold:   price = 362.18 ||  money = 126.44
Buy:    price = 355.32 ||  money = 126.44
*******************************************************
Sold:   price = 360.64 ||  money = 127.38
Buy:    price = 358.57 ||  money = 127.38
*******************************************************
Sold:   price = 362.79 ||  money = 128.13
Buy:    price = 360.79 ||  money = 128.13
*******************************************************
Sold:   price = 361.65 ||  money = 128.29
Buy:    price = 359.27 ||  money = 128.29
*******************************************************
Sold:   price = 361.46 ||  money = 128.68
Buy:    price = 359.14 ||  money = 128.68
*******************************************************
Sold:   price = 359.52 ||  money = 128.74
Buy:    price = 357.72 ||  money = 128.74
*******************************************************
Sold:   price = 359.45 ||  money = 129.06
Buy:    price = 359.09 ||  money = 129.06
*******************************************************
Sold:   price = 359.70 ||  money = 129.17
Buy:    price = 357.87 ||  money = 129.17
*******************************************************
Sold:   price = 359.11 ||  money = 129.39
Buy:    price = 356.77 ||  money = 129.39
*******************************************************
Sold:   price = 356.86 ||  money = 129.41
Buy:    price = 356.53 ||  money = 129.41
*******************************************************
Sold:   price = 356.92 ||  money = 129.48
Buy:    price = 356.74 ||  money = 129.48
*******************************************************
Sold:   price = 358.36 ||  money = 129.77
Buy:    price = 357.99 ||  money = 129.77
*******************************************************
Sold:   price = 358.80 ||  money = 129.92
Buy:    price = 352.08 ||  money = 129.92
*******************************************************
Sold:   price = 356.37 ||  money = 130.71
Buy:    price = 355.13 ||  money = 130.71
*******************************************************
Sold:   price = 357.20 ||  money = 131.09
Buy:    price = 356.97 ||  money = 131.09
*******************************************************
Sold:   price = 357.25 ||  money = 131.14
Buy:    price = 356.37 ||  money = 131.14
*******************************************************
Sold:   price = 358.61 ||  money = 131.55
Buy:    price = 358.52 ||  money = 131.55
*******************************************************
Sold:   price = 358.95 ||  money = 131.63
Buy:    price = 356.08 ||  money = 131.63
*******************************************************
Sold:   price = 356.44 ||  money = 131.70
Buy:    price = 348.05 ||  money = 131.70
*******************************************************
Sold:   price = 349.13 ||  money = 131.90
Buy:    price = 344.06 ||  money = 131.90
*******************************************************
Sold:   price = 344.45 ||  money = 131.98
Buy:    price = 342.98 ||  money = 131.98
*******************************************************
Sold:   price = 344.66 ||  money = 132.30
Buy:    price = 342.26 ||  money = 132.30
*******************************************************
Sold:   price = 343.82 ||  money = 132.60
